SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,332 Michell Ct,Livermore,CA,94551,1250000,3,2.0,NORTH LIVERMORE,1350,6718,1956,4,926,,Active,,,https://www.redfin.com/CA/Livermore/332-Michell-Ct-94551/home/638229,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040395,N,Y,37.6900335,-121.7596776
MLS Listing,,Townhouse,1013 Arrowhead Ave,Livermore,CA,94551,699000,2,1.5,Not Listed,972,4866,1985,1,719,,Active,,,https://www.redfin.com/CA/Livermore/1013-Arrowhead-Ave-94551/home/1424338,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040689,N,Y,37.7116514,-121.7301373
MLS Listing,,Single Family Residential,1117 Olivina Ave,Livermore,CA,94551,769999,3,1.0,,982,5000,1952,2,784,,Active,October-1-2023 12:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/Livermore/1117-Olivina-Ave-94551/home/580027,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040663,N,Y,37.6827628,-121.7825483
MLS Listing,,Single Family Residential,201 Flagstone Cmn,Livermore,CA,94550,1095000,3,3.0,CARLTON SQUARE,1933,2753,2004,2,566,170,Active,October-1-2023 02:00 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Livermore/201-Flagstone-Cmn-94550/home/1647531,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038345,N,Y,37.676161,-121.800824
MLS Listing,,Single Family Residential,1642 Hollyhock St,Livermore,CA,94551,700000,2,1.0,SPRINGTOWN,866,6377,1963,2,808,38,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Livermore/1642-Hollyhock-St-94551/home/1675669,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040540,N,Y,37.714052,-121.7423656
MLS Listing,,Single Family Residential,137 Rincon Ave,Livermore,CA,94551,699000,4,2.0,NORTH LIVERMORE,1365,6395,1957,3,512,,Active,,,https://www.redfin.com/CA/Livermore/137-Rincon-Ave-94551/home/884520,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040519,N,Y,37.6810739,-121.7836978
MLS Listing,,Single Family Residential,6060 Autumn Leaf Cmn,Livermore,CA,94551,975000,3,2.5,Not Listed,1272,2567,2004,3,767,145,Active,October-1-2023 11:00 AM,October-1-2023 02:00 PM,https://www.redfin.com/CA/Livermore/6060-Autumn-Leaf-Cmn-94551/home/1234505,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040488,N,Y,37.717479,-121.7230293
MLS Listing,,Single Family Residential,1122 Batavia Ave,Livermore,CA,94550,1399000,6,4.0,SUNSET EAST,3517,6200,1957,3,398,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Livermore/1122-Batavia-Ave-94550/home/1206659,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040438,N,Y,37.6693205,-121.7786154
MLS Listing,,Single Family Residential,621 Ridgecrest Cir,Livermore,CA,94551,1350000,3,2.0,LIVERMORE,1912,7280,1999,3,706,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Livermore/621-Ridgecrest-Cir-94551/home/580236,MLSListings,ML81943377,N,Y,37.6901654,-121.7555656
MLS Listing,,Single Family Residential,660 Brighton Way,Livermore,CA,94551,1249950,4,3.0,SUMMERSET,2393,6200,1966,4,522,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Livermore/660-Brighton-Way-94551/home/1449342,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040325,N,Y,37.6897313,-121.7921782
MLS Listing,,Single Family Residential,2042 Mars Rd,Livermore,CA,94550,1598000,3,2.0,THREE FOUNTAINS,2160,10424,1971,4,740,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Livermore/2042-Mars-Rd-94550/home/1314290,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040061,N,Y,37.658829,-121.7839858
