SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,50 N Midway St,Campbell,CA,95008,2780000,4,2.0,CAMPBELL,2476,7332,1956,1,1123,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Campbell/50-N-Midway-St-95008/home/915769,MLSListings,ML81943672,N,Y,37.2878396,-121.9267558
MLS Listing,,Multi-Family (2-4 Unit),1407 San Tomas Aquino Pkwy,San Jose,CA,95130,1848000,8,5.0,SAN JOSE,2764,6885,1960,1,669,,Active,September-30-2023 01:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/San-Jose/1407-San-Tomas-Aquino-Pkwy-95130/home/1225945,MLSListings,ML81943671,N,Y,37.298514,-121.9632859
MLS Listing,,Condo/Co-op,1734 Braddock Ct,San Jose,CA,95125,668000,2,1.0,SAN JOSE,865,,1984,1,772,500,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/1734-Braddock-Ct-95125/home/982283,MLSListings,ML81943668,N,Y,37.294789,-121.923406
MLS Listing,,Single Family Residential,2279 MAXIMILIAN Dr,Campbell,CA,95008,1749000,4,2.0,CAMPBELL,1486,6000,1962,1,1177,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/2279-Maximilian-Dr-95130/home/818069,MLSListings,ML81943620,N,Y,37.279734,-121.966353
MLS Listing,,Single Family Residential,775 Harrison Ave,Campbell,CA,95008,1798000,4,2.0,CAMPBELL,1575,9375,1953,2,1142,,Active,September-30-2023 01:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Campbell/775-Harrison-Ave-95008/home/1429442,MLSListings,ML81943503,N,Y,37.2983342,-121.9427559
MLS Listing,,Single Family Residential,78 Cherry Ln,Campbell,CA,95008,1698000,3,2.0,CAMPBELL,1630,8276,1948,2,1042,,Active,September-30-2023 01:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Campbell/78-Cherry-Ln-95008/home/755657,MLSListings,ML81943500,N,Y,37.2833394,-121.9512439
MLS Listing,,Condo/Co-op,2867 S Bascom Ave #603,Campbell,CA,95008,579900,1,1.0,CAMPBELL,668,,1984,2,868,480,Active,September-30-2023 01:00 PM,September-30-2023 03:00 PM,https://www.redfin.com/CA/San-Jose/2867-S-Bascom-Ave-95124/unit-603/home/1333723,MLSListings,ML81943448,N,Y,37.270604,-121.938345
MLS Listing,,Townhouse,425 Robin Ridge Way,Campbell,CA,95008,1775000,4,3.5,CAMPBELL,2159,1106,2017,2,822,262,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Campbell/425-Robin-Ridge-Way-95008/home/160939599,MLSListings,ML81942863,N,Y,37.2838734,-121.9421482
MLS Listing,,Single Family Residential,2033 Woodglen Dr,San Jose,CA,95130,2098000,4,2.5,SAN JOSE,2256,4295,2005,2,930,85,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/2033-Woodglen-Dr-95130/home/2122032,MLSListings,ML81943422,N,Y,37.2852165,-121.9847451
MLS Listing,,Single Family Residential,1290 Hoffman Ln,Campbell,CA,95008,1299950,3,1.0,CAMPBELL,1005,9472,1959,2,1293,,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Campbell/1290-Hoffman-Ln-95008/home/1727555,MLSListings,ML81943390,N,Y,37.2680933,-121.9454734
MLS Listing,,Single Family Residential,629 Union Ave,Campbell,CA,95008,1249000,3,2.5,CAMPBELL,1318,2046,1980,3,948,210,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Campbell/629-Union-Ave-95008/home/701539,MLSListings,ML81943339,N,Y,37.2780406,-121.9365028
MLS Listing,,Single Family Residential,1361 El Moro Dr,Campbell,CA,95008,2378000,3,3.0,CAMPBELL,1805,10428,1954,3,1317,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Campbell/1361-El-Moro-Dr-95008/home/1085730,MLSListings,ML81942859,N,Y,37.2844254,-121.9249778
