SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,url,HAS_GARAGE,HEATING_FEATURES,COOLING_FEATURES,BUYER_AGENCY_COMPENSATION,REDFIN_ESTIMATE,PARK_DESCRIPTION,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,FLOORING_FEATURES,UTILITIES,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,NUM_STORIES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE,PRICE_HISTORY12_EVENT_DATE,PRICE_HISTORY12_EVENT_TYPE,PRICE_HISTORY12_PRICE
Redfin Data,,Single Family Residential,213 Velvetlake Dr,Sunnyvale,CA,94089,1500000,3.0,2.0,Sunnyvale,1108.0,7700.0,1957.0,15.0,1354.0,,Pre On-Market,,,https://www.redfin.com/CA/Sunnyvale/213-Velvetlake-Dr-94089/home/1320183,Coming Soon,94934,N,Y,37.3927278,-121.9978939,4,5,6,1354.0,10606.0,76,Very bikeable,51,Somewhat walkable,34,Some transit,Minor,Minimal,Major,Minimal,"Places2 groceries, 35 restaurants, 5 parksTransit20, 200, 55, 56, 57, 59, ACE Gray, ACE Green, BB (Oct23), Blue Line Special, Blue-Event, BusBridge (6/18-6/27), BusBridge (6/18-6/29), BusBridge (Bypt-Foak), Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Express 121, Green (Civc-OldI), Green Line, Green Line Modified, Green Line Special, Green-Event, Green-North Portion, GreenN, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, School 255, Special Event","Sep 14, 2023","Coming SoonOn market October 12, 2023",1500000.0,"Mar 26, 2018",Pending (Pending (Do Not Show))MLSListings #ML81691659,NA,"Feb 16, 2018",Listing RemovedMLSListings #ML81691659,NA,"Feb 12, 2018",Listed (Active)MLSListings #ML81691659,988888.0,https://www.redfin.com/CA/Sunnyvale/213-Velvetlake-Dr-94089/home/1320183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redfin Data,,Condo/Co-op,1653 Albatross Dr,Sunnyvale,CA,94087,1200000,3.0,2.5,Sunnyvale,1280.0,2900.0,1971.0,19.0,938.0,607.0,Pre On-Market,,,https://www.redfin.com/CA/Sunnyvale/1653-Albatross-Dr-94087/home/760126,Coming Soon,94837,N,Y,37.3395915,-122.0317565,9,8,6,938.0,9092.0,84,Very bikeable,65,Somewhat walkable,36,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 32 restaurants, 4 parksTransit22, 23, 25, 51, 51H, 53, 55, 56, Rapid 522, Rapid 523, School 255","Sep 10, 2023","Coming SoonOn market September 28, 2023",1200000.0,"Jun 16, 2011",Pending (Pending (Do Not Show))MLSListings #ML81118466,NA,"May 26, 2011",Pending (Pending Without Release)MLSListings #ML81118466,NA,"Apr 27, 2011",Listed (Active)MLSListings #ML81118466,595000.0,https://www.redfin.com/CA/Sunnyvale/1653-Albatross-Dr-94087/home/760126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,922 Noble Fir Trl #10,Sunnyvale,CA,94086,1253376,2.0,2.5,PONDEROSA,1121.0,500.0,2023.0,1.0,1118.0,340.0,Active,,,https://www.redfin.com/CA/Sunnyvale/922-Noble-Fir-Trl-94086/unit-10/home/181234690,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040646,N,Y,37.3577694,-122.0159324,6,6,8,1118.0,9202.0,79,Very bikeable,78,Very walkable,44,Some transit,NA,NA,NA,NA,"Places6 groceries, 30 restaurants, 2 parksTransit20, 21, 22, 53, 55, 56, ACE Gray, L1, L2, L3, L6, Rapid 522, Rapid 523, School 255","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040646",1253376.0,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/922-Noble-Fir-Trl-94086/unit-10/home/181234690,2.0,Forced Air,Central Air,2.5,1271993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Mobile/Manufactured Home,1085 Tasman Dr #598,Sunnyvale,CA,94089,310000,3.0,2.0,SUNNYVALE,1642.0,,1990.0,1.0,189.0,,Active,,,https://www.redfin.com/CA/Sunnyvale/1085-Tasman-Dr-94089/unit-598/home/40363869,MLSListings,ML81943623,N,Y,37.405034,-121.9996432,7,6,8,189.0,2192.0,74,Very bikeable,52,Somewhat walkable,45,Some transit,Minimal,Minimal,Major,Minimal,"Places4 groceries, 25 restaurants, 4 parksTransit200, 55, 56, 57, 59, ACE Gray, ACE Green, ACE Red, BB (Oct23), Blue Line Special, Blue-Event, BusBridge (6/18-6/27), BusBridge (6/18-6/29), BusBridge (7/6-7/18), BusBridge (7/6-7/19), BusBridge (7/6-7/21), BusBridge (Bypt-Foak), Event Blue, Event Green, Event Orange, Event Special, Event-Blue, Event-Green, Event-Orange, Event-Special, Express 121, Green (Civc-OldI), Green Line, Green Line Modified, Green Line Special, Green-Event, Green-North Portion, GreenN, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Santa Teresa, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, School 255, Special Event","Sep 29, 2023",Listed (Active)MLSListings #ML81943623,310000.0,"Jan 15, 2022",ContingentMLSListings #ML81866836,NA,"Oct 20, 2021",Relisted (Active)MLSListings #ML81866836,NA,"Oct 15, 2021",Listing RemovedMLSListings #ML81866836,NA,https://www.redfin.com/CA/Sunnyvale/1085-Tasman-Dr-94089/unit-598/home/40363869,,Central Forced Air,Central Forced Air,3.0,310175.0,"Carport, Covered Parking, Tandem Parking","Double Sinks, Shower and Tub, Solid Surface, Stall Shower, Updated Bath(s)","Breakfast Bar, Dining Area in Living Room",Washer/Dryer,"Carpet, Hardwood, Laminate","Individual Electric Meters, Individual Gas Meters","Oct 14, 2021",Listed (Active)MLSListings #ML81866836,289000.0,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,916 Almaden Ave,Sunnyvale,CA,94085,1299000,4.0,2.0,SUNNYVALE,1326.0,5092.0,1955.0,1.0,980.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Sunnyvale/916-Almaden-Ave-94085/home/1576376,MLSListings,ML81943545,N,Y,37.3917442,-122.0039569,5,5,6,980.0,9185.0,77,Very bikeable,62,Somewhat walkable,36,Some transit,Minimal,Minimal,Major,Minimal,"Places4 groceries, 28 restaurants, 2 parksTransit20, 200, 55, 56, ACE Gray, ACE Red, BB (Oct23), Blue Line Special, Blue-Event, BusBridge (6/18-6/27), BusBridge (6/18-6/29), BusBridge (Bypt-Foak), Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Express 121, Green Line Special, Green-Event, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, School 255, Special Event","Sep 29, 2023",Listed (Active)MLSListings #ML81943545,1299000.0,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/916-Almaden-Ave-94085/home/1576376,1.0,Gas,,2.5,1458431.0,Attached Garage,,Other (See Remarks),,,Public Utilities,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,215 Red Oak Dr Unit C,Sunnyvale,CA,94086,795000,2.0,1.0,SUNNYVALE,926.0,,1971.0,1.0,859.0,540.0,Active,,,https://www.redfin.com/CA/Sunnyvale/215-Red-Oak-Dr-W-94086/unit-C/home/1398479,MLSListings,ML81943502,N,Y,37.3716686,-122.0106636,5,7,6,859.0,6161.0,79,Very bikeable,57,Somewhat walkable,35,Some transit,Minimal,Minimal,Major,Minimal,"Places3 groceries, 24 restaurants, 4 parksTransit20, 21, 22, 55, 56, ACE Gray, L1, L2, L3, L6, Rapid 522, School 255","Sep 28, 2023",Listed (Active)MLSListings #ML81943502,795000.0,"May 13, 2023",Pending (Pending (Do Not Show))MLSListings #ML81924347,NA,"May 1, 2023",Listed (Active)MLSListings #ML81924347,620000.0,,,,https://www.redfin.com/CA/Sunnyvale/215-Red-Oak-Dr-W-94086/unit-C/home/1398479,,Central Forced Air (Gas),Central Forced Air,2.5,794265.0,"Assigned Spaces, Carport, Common Parking Area","Full on Ground Floor, Shower Over Tub",Dining Area in Family Room,Washer/Dryer,,Public Utilities,,,,1.0,"Common Area Electricity, Pools, Spa, or Tennis, Roof, Water",Monthly,Sunnyvale Roundtree HOA,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,115 W Hemlock Ave,Sunnyvale,CA,94085,1398000,3.0,1.0,SUNNYVALE,1027.0,7086.0,1953.0,1.0,1361.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Sunnyvale/115-W-Hemlock-Ave-94085/home/1802544,MLSListings,ML81943485,N,Y,37.3966127,-122.0236175,3,5,6,1361.0,9885.0,78,Very bikeable,69,Somewhat walkable,41,Some transit,Minimal,Minimal,Moderate,Minimal,"Places5 groceries, 30 restaurants, 3 parksTransit20, 200, 21, 53, 55, 56, ACE Gray, ACE Red, BB (Oct23), Blue Line Special, Blue-Event, BusBridge (6/18-6/27), BusBridge (6/18-6/29), BusBridge (Bypt-Foak), BusBridge Caltrain (MPK-SCL)), Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Express 121, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 523, School 255, Special Event","Sep 28, 2023",Listed (Active)MLSListings #ML81943485,1398000.0,"Oct 12, 2010",Pending (Pending Without Release)MLSListings #ML81030145,NA,"Oct 4, 2010",Price ChangedMLSListings #ML81030145,339500.0,"Sep 28, 2010",Relisted (Active)MLSListings #ML81030145,NA,https://www.redfin.com/CA/Sunnyvale/115-W-Hemlock-Ave-94085/home/1802544,1.0,"Heating (2+ Zones), Individual Room Controls, Wall Furnace",Multi-Zone,2.5,1388890.0,Attached Garage,Shower Over Tub,Dining Area,"In Garage, Washer/Dryer","Laminate, Tile",Public Utilities,"Sep 24, 2010",Pending (Pending Without Release)MLSListings #ML81030145,NA,1.0,,,,"Sep 15, 2010",Price ChangedMLSListings #ML81030145,350000.0,"Aug 18, 2010",Price ChangedMLSListings #ML81030145,360000.0,"Jul 19, 2010",Price ChangedMLSListings #ML81030145,380000.0,"Jun 17, 2010",Listed (Active)MLSListings #ML81030145,390000.0,,,,,,,,,
MLS Listing,,Mobile/Manufactured Home,1220 Tasman Dr #234,Sunnyvale,CA,94089,299000,3.0,2.0,SUNNYVALE,1440.0,,1968.0,1.0,208.0,,Active,,,https://www.redfin.com/CA/Sunnyvale/1220-Tasman-Dr-94089/unit-234/home/1107769,MLSListings,ML81943471,N,Y,37.4013384,-121.9913911,7,6,8,208.0,2114.0,84,Very bikeable,52,Somewhat walkable,48,Some transit,Moderate,Minimal,Major,Minimal,"Places3 groceries, 31 restaurants, 5 parksTransit20, 200, 55, 56, 57, 59, ACE Green, ACE Red, ACE Yellow, BB (Oct23), Blue Line Special, Blue-Event, BusBridge (6/18-6/27), BusBridge (6/18-6/29), BusBridge (7/6-7/18), BusBridge (7/6-7/19), BusBridge (7/6-7/21), BusBridge (Bypt-Foak), Event Blue, Event Green, Event Orange, Event Special, Event-Blue, Event-Green, Event-Orange, Event-Special, Express 121, Green (Civc-OldI), Green Line, Green Line Modified, Green Line Special, Green-Event, Green-North Portion, GreenN, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Santa Teresa, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, School 255, Special Event","Sep 28, 2023",Listed (Active)MLSListings #ML81943471,299000.0,"Sep 22, 2021",Pending (Pending (Do Not Show))MLSListings #ML81862153,NA,"Sep 10, 2021",Listed (Active)MLSListings #ML81862153,189000.0,,,,https://www.redfin.com/CA/Sunnyvale/1220-Tasman-Dr-94089/unit-234/home/1107769,,Central Forced Air,Central Forced Air,2.5,299362.0,"Carport, Guest/Visitor Parking",,"Breakfast Bar, No Formal Dining Room",,,"Individual Electric Meters, Individual Gas Meters",,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (5+ Unit),2036 Klamath Ave,Santa Clara,CA,95051,3650000,15.0,14.0,SANTA CLARA,7854.0,11534.0,1970.0,1.0,465.0,,Active,,,https://www.redfin.com/CA/Santa-Clara/2036-Klamath-Ave-95051/home/646493,MLSListings,ML81943477,N,Y,37.3593203,-121.9972054,7,6,8,465.0,25808.0,71,Very bikeable,69,Somewhat walkable,38,Some transit,Severe,Minimal,Major,Minimal,"Places4 groceries, 37 restaurants, 4 parksTransit20, 21, 22, 53, 56, 57, ACE Gray, L1, L2, L3, L6, Rapid 522","Sep 29, 2023",Relisted (Active)MLSListings #ML81943477,NA,"Sep 29, 2023",Listing RemovedMLSListings #ML81943477,NA,"Sep 28, 2023",Listed (Active)MLSListings #ML81943477,3650000.0,"Jun 9, 2016",Pending (Pending (Do Not Show))MLSListings #ML81585272,NA,https://www.redfin.com/CA/Santa-Clara/2036-Klamath-Ave-95051/home/646493,,Forced Air,Central Forced Air,2.0,,Carport,,,,,"Individual Electric Meters, Individual Gas Meters","May 12, 2016",Listed (Active)MLSListings #ML81585272,3465000.0,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1485 Newfoundland Dr,Sunnyvale,CA,94087,2498000,3.0,2.0,SUNNYVALE,1542.0,8250.0,1962.0,1.0,1620.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Sunnyvale/1485-Newfoundland-Dr-94087/home/771219,MLSListings,ML81943372,N,Y,37.3450211,-122.0436821,9,8,8,1620.0,17662.0,74,Very bikeable,63,Somewhat walkable,33,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 27 restaurants, 2 parksTransit22, 23, 25, 51, 51H, 53, 55, Rapid 522, Rapid 523, School 255",,,,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/1485-Newfoundland-Dr-94087/home/771219,2.0,Central Forced Air,Central Forced Air,2.5,2779534.0,Attached Garage,"Shower and Tub, Stall Shower",Dining Area,In Garage,"Carpet, Hardwood",Public Utilities,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,835 Hanover Ave,Sunnyvale,CA,94087,2398000,3.0,2.0,SUNNYVALE,1714.0,6890.0,1963.0,2.0,1399.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Sunnyvale/835-Hanover-Ave-94087/home/1867981,MLSListings,ML81943276,N,Y,37.3651615,-122.044738,7,7,8,1399.0,16955.0,76,Very bikeable,61,Somewhat walkable,41,Some transit,Moderate,Minimal,Moderate,Minimal,"Places4 groceries, 29 restaurants, 2 parksTransit20, 21, 22, 53, 55, 56, BusBridge Caltrain (MPK-SCL)), L1, L2, L3, L4, L5, L6, Rapid 522, Rapid 523, School 255","Sep 27, 2023",Listed (Active)MLSListings #ML81943276,2398000.0,"May 6, 2005",Listing RemovedMLSListings #ML80515570,NA,"Mar 30, 2005",ListedMLSListings #ML80515570,838888.0,,,,https://www.redfin.com/CA/Sunnyvale/835-Hanover-Ave-94087/home/1867981,2.0,Central Forced Air,Central Forced Air,2.5,,"Attached Garage, On Street",,Dining Area,,,Public Utilities,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,1316 Karina Way,Santa Clara,CA,95051,1329000,3.0,2.5,SANTA CLARA,1845.0,1750.0,1978.0,2.0,720.0,582.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/1316-Karina-Way-95051/home/1683448,MLSListings,ML81943260,N,Y,37.3489778,-121.9986934,8,6,8,720.0,9979.0,66,Bikeable,75,Very walkable,41,Some transit,Moderate,Minimal,Major,Minimal,"Places4 groceries, 32 restaurants, 3 parksTransit21, 22, 23, 53, 56, 57, ACE Gray, Express 101, L1, L2, L3, L6, Rapid 522","Sep 27, 2023",Listed (Active)MLSListings #ML81943260,1329000.0,,,,,,,,,,https://www.redfin.com/CA/Santa-Clara/1316-Karina-Way-95051/home/1683448,2.0,Central Forced Air (Gas),Central Forced Air,2.5,1446554.0,Attached Garage,Half on Ground Floor,Dining Area,,"Carpet, Tile, Vinyl/Linoleum",Public Utilities,,,,2.0,"Common Area Electricity, Common Area Gas, Insurance, Landscaping/Gardening, Maintenance (Common Area), Recreation Facility, Reserves",,Casa Del Valle  HOA,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,711 Satsuma Ter,Sunnyvale,CA,94087,1899000,4.0,3.0,SUNNYVALE,1829.0,1413.0,2014.0,2.0,1038.0,336.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Sunnyvale/711-Satsuma-Ter-94087/home/95957133,MLSListings,ML81943259,N,Y,37.368062,-122.0399959,7,7,6,1038.0,13763.0,81,Very bikeable,87,Very walkable,45,Some transit,Major,Minimal,Moderate,Minimal,"Places4 groceries, 30 restaurants, 0 parksTransit20, 21, 22, 53, 55, 56, ACE Gray, BusBridge Caltrain (MPK-SCL)), L1, L2, L3, L4, L5, L6, Rapid 522, Rapid 523, School 255","Sep 27, 2023",Listed (Active)MLSListings #ML81943259,1899000.0,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/711-Satsuma-Ter-94087/home/95957133,2.0,Central Forced Air,Central Forced Air,2.5,1983622.0,Attached Garage,,"Dining Area in Family Room, Dining Area in Living Room","In Utility Room, Washer/Dryer","Carpet, Tile",Public Utilities,,,,2.0,"Common Area Electricity, Common Area Gas, Insurance (Common Area), Insurance (Structure), Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Recreation Facility, Roof, Security Service",Monthly,Las Palmas of Sunnyvale,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,815 W Remington Dr,Sunnyvale,CA,94087,2088000,3.0,2.0,SUNNYVALE,1613.0,6002.0,1963.0,2.0,1294.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Sunnyvale/815-W-Remington-Dr-94087/home/1513239,MLSListings,ML81942104,N,Y,37.3597041,-122.0471436,7,7,8,1294.0,14763.0,82,Very bikeable,47,Car-dependent,30,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 26 restaurants, 4 parksTransit22, 51, 51H, 53, 55, Rapid 522, Rapid 523, School 255","Sep 27, 2023",Listed (Active)MLSListings #ML81942104,2088000.0,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/815-W-Remington-Dr-94087/home/1513239,2.0,Central Forced Air,Central Forced Air,2.5,2380122.0,"Attached Garage, On Street","Double Sinks, 2+ Stall Shower, Updated Bath(s)",Formal Dining Room,"Dryer, In Garage, Washer","Carpet, Tile, Other (See Remarks)",Public Utilities,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1650 Grosbeak Ave,Sunnyvale,CA,94087,3075000,4.0,2.5,SUNNYVALE,2100.0,6324.0,2020.0,2.0,1464.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Sunnyvale/1650-Grosbeak-Ave-94087/home/1061784,MLSListings,ML81943254,N,Y,37.339371,-122.0189905,9,8,6,1464.0,21742.0,77,Very bikeable,63,Somewhat walkable,35,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 29 restaurants, 5 parksTransit22, 23, 25, 51, 51H, 53, 55, 56, Express 101, Rapid 522, Rapid 523, School 255","Sep 27, 2023",Listed (Active)MLSListings #ML81943254,3075000.0,"Jul 31, 2003",Listing RemovedMLSListings #ML80325112,NA,"May 3, 2003",ListedMLSListings #ML80325112,612500.0,,,,https://www.redfin.com/CA/Sunnyvale/1650-Grosbeak-Ave-94087/home/1061784,2.0,Central Forced Air (Gas),Central Forced Air,2.5,3260347.0,"Attached Garage, Gate/Door Opener, On Street","Double Sinks, Dual Flush Toilet, Outside Access, Primary (Stall Shower(s)), Shower and Tub, Tile, Updated Bath(s)","Breakfast Bar, Dining Area, Dining Bar, Eat in Kitchen","In Garage, Outside, Tub/Sink, Washer/Dryer","Hardwood, Tile",Public Utilities,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,564 Santa Rosalia Ter,Sunnyvale,CA,94085,1099000,2.0,2.5,SUNNYVALE,1198.0,550.0,2011.0,2.0,917.0,408.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Sunnyvale/564-Santa-Rosalia-Ter-94085/home/40489689,MLSListings,ML81943242,N,Y,37.386551,-122.0016983,5,5,6,917.0,8179.0,76,Very bikeable,60,Somewhat walkable,32,Some transit,Minimal,Minor,Major,Minimal,"Places1 grocery, 32 restaurants, 2 parksTransit20, 200, 55, 56, ACE Gray, BB (Oct23), Blue Line Special, Blue-Event, BusBridge (6/18-6/27), BusBridge (6/18-6/29), BusBridge (Bypt-Foak), Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Express 121, Green Line Special, Green-Event, L1, L2, L3, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, School 255, Special Event","Sep 27, 2023",Listed (Active)MLSListings #ML81943242,1099000.0,"Sep 15, 2012",Pending (Contingent)MLSListings #ML81233327,NA,"Sep 8, 2012",Listed (Active)MLSListings #ML81233327,555000.0,,,,https://www.redfin.com/CA/Sunnyvale/564-Santa-Rosalia-Ter-94085/home/40489689,2.0,Central Forced Air (Gas),Central Forced Air,2.5,,"Attached Garage, Guest/Visitor Parking, Tandem Parking",,Dining Area in Living Room,,,Public Utilities,,,,3.0,"Common Area Electricity, Common Area Gas, Exterior Painting, Garbage, Landscaping/Gardening, Recreation Facility, Reserves, Roof, Water, Other (See Remarks)",,East Duane HOA,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (2-4 Unit),517/519 N Fair Oaks Ave,Sunnyvale,CA,94085,1298000,4.0,2.0,SUNNYVALE,1634.0,5613.0,1957.0,3.0,794.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Sunnyvale/517-N-Fair-Oaks-Ave-94085/home/1462668,MLSListings,ML81943217,N,Y,37.3860521,-122.0168967,3,5,6,794.0,9178.0,79,Very bikeable,72,Very walkable,39,Some transit,Moderate,Minimal,Moderate,Minimal,"Places3 groceries, 23 restaurants, 5 parksTransit20, 21, 53, 55, 56, ACE Gray, BusBridge Caltrain (MPK-SCL)), L1, L2, L3, L4, L5, L6, Rapid 523, School 255","Sep 26, 2023",Listed (Active)MLSListings #ML81943217,1298000.0,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/517-N-Fair-Oaks-Ave-94085/home/1462668,2.0,Central Forced Air,Central Forced Air,2.5,1321148.0,Attached Garage,,,"Hookups Only, Washer/Dryer (Some Units)","Laminate, Tile","Individual Electric Meters, Individual Gas Meters, Public Utilities",,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,3725 Terstena Pl #141,Santa Clara,CA,95051,649000,2.0,1.0,SANTA CLARA,912.0,,1986.0,3.0,712.0,689.0,Active,September-30-2023 02:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Santa-Clara/3725-Terstena-Pl-95051/unit-141/home/1773359,MLSListings,ML81943163,N,Y,37.3584218,-121.999683,7,6,8,712.0,5278.0,70,Very bikeable,64,Somewhat walkable,38,Some transit,NA,NA,NA,NA,"Places4 groceries, 38 restaurants, 1 parkTransit20, 21, 22, 53, 56, 57, ACE Gray, L1, L2, L3, L6, Rapid 522","Sep 26, 2023",Listed (Active)MLSListings #ML81943163,649000.0,"May 22, 2014",Pending (Pending (Do Not Show))MLSListings #ML81416656,NA,"May 14, 2014",Listed (Active)MLSListings #ML81416656,425000.0,,,,https://www.redfin.com/CA/Santa-Clara/3725-Terstena-Pl-95051/unit-141/home/1773359,,Central Forced Air,Central Forced Air,2.5,655793.0,"Assigned Spaces, Guest/Visitor Parking, No Garage, Parking Area, Uncovered Parking, Underground Parking",Shower Over Tub,"Dining Area in Living Room, No Informal Dining Room","Inside, Washer/Dryer",,Public Utilities,,,,1.0,"Common Area Electricity, Common Area Gas, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Pools, Spa, or Tennis, Recreation Facility, Roof, Sewer, Water",,MIRAMAR TERRACE HOA,,,,,,,,,,,,,,,,,,,,,
